Hour,Day_of_Week,Weather,Temperature,Road_Capacity,Accidents,Vehicles,Traffic_Level
6,3,3,38,1158,3,422,Low
19,6,0,31,606,4,792,Medium
14,6,2,30,881,1,1489,High
10,4,2,39,1282,0,572,Medium
7,1,3,29,889,0,1456,High
20,1,0,27,743,4,1110,High
6,3,0,29,1084,2,1027,High
18,5,3,18,1368,2,435,Low
22,0,1,30,967,2,870,Medium
10,4,2,26,1365,2,1027,High
10,1,1,18,1433,2,962,Medium
23,4,2,17,1733,4,579,Medium
20,1,2,36,1103,3,993,Medium
3,4,1,31,1514,1,813,Medium
7,2,3,36,1596,2,762,Medium
23,6,3,32,1832,3,619,Medium
2,1,2,39,1359,0,251,Low
21,4,3,32,1709,4,1018,High
20,0,2,37,1776,3,404,Low
1,2,3,31,512,2,1200,High
23,2,2,26,798,2,930,Medium
11,0,3,37,1599,2,456,Low
5,4,0,35,1574,3,384,Low
1,3,1,38,1286,2,344,Low
20,0,0,18,648,3,1237,High
0,4,1,26,621,2,445,Low
11,0,1,37,1734,0,386,Low
21,0,2,36,1803,0,1482,High
11,1,1,35,1037,1,1065,High
16,4,0,34,1679,2,239,Low
9,3,0,29,1761,2,800,Medium
15,6,3,37,875,3,1161,High
14,1,0,30,581,3,1185,High
14,0,3,19,991,2,208,Low
18,6,1,35,855,1,549,Medium
11,5,0,29,1424,2,283,Low
22,6,1,31,1796,3,732,Medium
19,0,0,32,1567,2,1188,High
2,0,0,19,1504,3,557,Medium
4,4,3,27,622,2,577,Medium
18,4,1,33,1872,4,371,Low
6,1,0,27,1207,3,1248,High
20,3,2,32,829,1,592,Medium
8,1,1,28,1932,4,1326,High
6,2,1,18,1490,2,901,Medium
17,0,1,18,822,3,1459,High
3,6,3,34,1634,4,748,Medium
13,5,2,34,1269,1,983,Medium
17,0,1,33,1612,3,531,Medium
8,0,0,27,932,4,993,Medium
20,1,0,26,1209,4,848,Medium
1,5,3,21,1293,4,1182,High
19,5,0,39,1211,0,1252,High
14,5,1,26,1622,2,742,Medium
6,1,0,35,1038,3,1242,High
11,0,1,18,1100,3,1371,High
7,1,0,16,1669,3,690,Medium
14,4,2,16,756,4,482,Low
2,4,3,19,1712,2,1061,High
13,1,3,37,1763,1,312,Low
16,5,2,24,1370,3,1478,High
3,0,2,24,1398,2,1061,High
17,1,3,23,1308,2,809,Medium
7,1,2,27,1176,0,707,Medium
3,1,1,21,770,3,665,Medium
1,2,0,19,1049,4,1023,High
5,4,3,24,1637,2,808,Medium
21,6,2,24,1862,2,1321,High
9,5,1,20,1067,1,489,Low
3,3,3,33,1485,0,1067,High
21,6,2,35,858,2,1379,High
17,5,3,22,1857,2,981,Medium
11,3,2,15,1692,4,361,Low
1,2,3,31,1862,4,823,Medium
9,1,1,21,1297,1,916,Medium
3,2,1,28,1784,1,1320,High
13,2,0,35,1386,1,766,Medium
15,6,3,35,1722,4,1193,High
14,0,0,31,710,4,1340,High
7,6,3,23,786,0,1412,High
13,4,2,31,1242,3,795,Medium
22,3,2,19,1995,3,1403,High
7,1,0,39,1546,0,1404,High
20,6,3,34,1632,3,1158,High
15,3,0,22,795,4,1212,High
12,5,1,20,505,3,674,Medium
17,3,0,25,1049,4,817,Medium
14,5,0,33,1180,0,840,Medium
20,6,2,18,1294,1,461,Low
23,4,0,32,702,0,361,Low
12,6,3,15,824,3,380,Low
8,5,2,27,1324,4,924,Medium
14,3,0,28,743,3,668,Medium
12,3,1,38,826,3,220,Low
0,5,0,15,1486,1,1498,High
6,2,0,25,1570,3,459,Low
8,4,0,31,1260,1,665,Medium
23,0,2,18,1536,4,1339,High
0,1,3,26,1406,4,736,Medium
11,3,1,24,1903,1,1151,High
7,1,0,20,864,0,965,Medium
23,0,3,39,1865,4,1158,High
10,6,3,15,1744,0,1133,High
18,1,2,21,572,4,1050,High
16,0,1,35,1569,4,1480,High
7,5,2,30,773,2,1391,High
2,2,3,38,707,3,732,Medium
2,3,3,28,623,3,214,Low
0,0,3,37,1533,0,249,Low
4,1,2,34,1852,3,1198,High
9,3,1,34,1710,0,503,Medium
6,2,0,20,1042,4,615,Medium
8,5,2,36,559,2,504,Medium
6,6,3,39,1398,2,395,Low
